Question,Answer
What is reference [1]?,"Reference [1]: K. He, X. Zhang, S. Ren, J. Sun, Deep residual learning for image recognition, in:
Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition,
2016, pp. 770–778."
What is reference [2]?,"Reference [2]: Y. He, G. Kang, X. Dong, Y. Fu, Y. Yang, Soft filter pruning for accelerating
in: Proceedings of the Twenty-Seventh
Intelligence (IJCAI), 2018, pp.

deep convolutional neural networks,
International Joint Conference on Artificial
2234–2240."
What is reference [3]?,"Reference [3]: S.K. Esser, J.L. McKinstry, D. Bablani, R. Appuswamy, D.S. Modha, Learned
step size quantization, in: International Conference on Learning Representations,
2020."
What is reference [4]?,"Reference [4]: Y. Guo, A. Yao, Y. Chen, Dynamic network surgery for efficient dnns,

in:

Advances in Neural Information Processing Systems, Vol. 29, 2016."
What is reference [5]?,"Reference [5]: S. Han, J. Pool, J. Tran, W. Dally, Learning both weights and connections for
efficient neural network, in: Advances in Neural Information Processing Systems,
Vol. 28, 2015."
What is reference [6]?,"Reference [6]: B. Hassibi, D. Stork, Second order derivatives for network pruning: Optimal brain
surgeon, in: Advances in Neural Information Processing Systems, Vol. 5, 1992."
What is reference [7]?,"Reference [7]: B. Hassibi, D.G. Stork, G.J. Wolff, Optimal brain surgeon and general network
pruning, in: IEEE International Conference on Neural Networks, IEEE, 1993, pp.
293–299."
What is reference [8]?,"Reference [8]: Y. He, X. Dong, G. Kang, Y. Fu, C. Yan, Y. Yang, Asymptotic soft filter pruning
for deep convolutional neural networks, IEEE Trans. Cybern. 50 (8) (2019)
3594–3604."
What is reference [9]?,"Reference [9]: G. Li, X. Ma, X. Wang, L. Liu, J. Xue, X. Feng, Fusion-catalyzed pruning for
optimizing deep learning on intelligent edge devices, IEEE Trans. Comput.-Aided
Des. Integr. Circuits Syst. 39 (11) (2020) 3614–3626."
What is reference [10]?,"Reference [10]: J.-H. Luo, J. Wu, W. Lin, Thinet: A filter level pruning method for deep neural
network compression, in: Proceedings of the IEEE International Conference on
Computer Vision, 2017, pp. 5058–5066."
What is reference [11]?,"Reference [11]: G. Li, X. Ma, X. Wang, H. Yue, J. Li, L. Liu, X. Feng, J. Xue, Optimizing deep
neural networks on intelligent edge accelerators via flexible-rate filter pruning,
J. Syst. Archit. (2022) 102431."
What is reference [12]?,"Reference [12]: J. Plochaet, T. Goedemé, Hardware-aware pruning for FPGA deep learning
accelerators, in: Proceedings of the IEEE/CVF Conference on Computer Vision
and Pattern Recognition, 2023, pp. 4481–4489."
What is reference [13]?,"Reference [13]: X. Zhuang, Y. Ge, B. Zheng, Q. Wang, Adversarial network pruning by filter
robustness estimation, in: ICASSP 2023-2023 IEEE International Conference on
Acoustics, Speech and Signal Processing (ICASSP), IEEE, 2023, pp. 1–5."
What is reference [14]?,"Reference [14]: Z. Liu, M. Sun, T. Zhou, G. Huang, T. Darrell, Rethinking the value of network
pruning, in: International Conference on Learning Representations (ICLR), 2019."
What is reference [15]?,"Reference [15]: Y. Li, K. Adamczewski, W. Li, S. Gu, R. Timofte, L. Van Gool, Revisiting
random channel pruning for neural network compression, in: Proceedings of the
IEEE/CVF Conference on Computer Vision and Pattern Recognition, 2022, pp.
191–201."
What is reference [16]?,"Reference [16]: Y. Li, P. Zhao, G. Yuan, X. Lin, Y. Wang, X. Chen, Pruning-as-search: Efficient
neural architecture search via channel pruning and structural reparameterization,
in: Proceedings of the Thirty-First International Joint Conference on Artificial
Intelligence, 2022, pp. 3236–3242."
What is reference [17]?,"Reference [17]: Y. Ding, Y. Wu, C. Huang, S. Tang, F. Wu, Y. Yang, W. Zhu, Y. Zhuang, NAP:

Neural architecture search with pruning, Neurocomputing 477 (2022) 85–95."
What is reference [18]?,"Reference [18]: S. Teerapittayanon, B. McDanel, H.-T. Kung, Branchynet: Fast inference via early
exiting from deep neural networks, in: 2016 23rd International Conference on
Pattern Recognition (ICPR), IEEE, 2016, pp. 2464–2469."
What is reference [19]?,"Reference [19]: P. Panda, A. Sengupta, K. Roy, Conditional deep learning for energy-efficient
and enhanced pattern recognition, in: 2016 Design, Automation & Test in Europe
Conference & Exhibition (DATE), IEEE, 2016, pp. 475–480."
What is reference [20]?,"Reference [20]: Y. Yang, D. Liu, H. Fang, Y.-X. Huang, Y. Sun, Z.-Y. Zhang, Once for all skip:
efficient adaptive deep neural networks, in: 2022 Design, Automation & Test in
Europe Conference & Exhibition (DATE), IEEE, 2022, pp. 568–571."
What is reference [21]?,"Reference [21]: B. Fang, X. Zeng, F. Zhang, H. Xu, M. Zhang, FlexDNN: Input-adaptive on-device
deep learning for efficient mobile vision, in: 2020 IEEE/ACM Symposium on Edge
Computing (SEC), IEEE, 2020, pp. 84–95."
