text,response
"Contents lists available at ScienceDirect

Journal of Systems Architecture

journal homepage: www.elsevier.com/locate/sysarc

CoAxNN: Optimizing on-device deep learning with conditional approximate
neural networks
Guangli Li a,b,1, Xiu Ma c,d,1, Qiuchu Yu a,b, Lei Liu c,d, Huaxiao Liu c,d, Xueying Wang a,b,∗
a State Key Lab of Processors, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China
b University of Chinese Academy of Sciences, Beijing, China
c College of Computer Science and Technology, Jilin University, Changchun, China
d MOE Key Laboratory of Symbolic Computation and Knowledge Engineering, Jilin University, Changchun, China

A R T I C L E I N F O

A B S T R A C T

Keywords:
On-device deep learning
Efficient neural networks
Model approximation and optimization

While deep neural networks have achieved superior performance in a variety of intelligent applications, the
increasing computational complexity makes them difficult to be deployed on resource-constrained devices. To","Question 1: What is the main contribution of the paper?
Answer 1: The paper proposes a new method for optimizing on-device deep learning with conditional approximate neural networks.

     Question 2: What are the keywords associated with this article?
Answer 2: The keywords associated with this article are on-device deep learning, efficient neural networks, model approximation and optimization.

     Question 3: What is the main goal of the paper?
Answer 3: The main goal of the paper is to develop a new method for deploying deep neural networks on resource-constrained devices while reducing their computational complexity."
"Efficient neural networks
Model approximation and optimization

While deep neural networks have achieved superior performance in a variety of intelligent applications, the
increasing computational complexity makes them difficult to be deployed on resource-constrained devices. To
improve the performance of on-device inference, prior studies have explored various approximate strategies,
such as neural network pruning, to optimize models based on different principles. However, when combining
these approximate strategies, a large parameter space needs to be explored. Meanwhile, different configuration
parameters may interfere with each other, damaging the performance optimization effect. In this paper, we
propose a novel model optimization framework, CoAxNN, which effectively combines different approximate
strategies, to facilitate on-device deep learning via model approximation. Based on the principles of different","Question 1: What are the approximate strategies used in the study?
Answer 1: Neural network pruning.

     Question 2: What is the purpose of combining different approximate strategies?
Answer 2: To improve the performance of on-device inference.

     Question 3: What is the proposed model optimization framework called?
Answer 3: CoAxNN."
"propose a novel model optimization framework, CoAxNN, which effectively combines different approximate
strategies, to facilitate on-device deep learning via model approximation. Based on the principles of different
approximate optimizations, our approach constructs the design space and automatically finds reasonable
configurations through genetic algorithm-based design space exploration. By combining the strengths of
different approximation methods, CoAxNN enables efficient conditional inference for models at runtime. We
evaluate our approach by leveraging state-of-the-art neural networks on a representative intelligent edge
platform, Jetson AGX Orin. The experimental results demonstrate the effectiveness of CoAxNN, which achieves
up to 1.53× speedup while reducing energy by up to 34.61%, with trivial accuracy loss on CIFAR-10/100 and
CINIC-10 datasets.

1. Introduction

Convolutional neural networks (CNNs) have achieved remarkable
success in various intelligent tasks such as image classification [1].","Question: What is the main goal of the proposed model optimization framework?
Answer: The main goal of the proposed model optimization framework is to effectively combine different approximate strategies to facilitate on-device deep learning via model approximation.

2. Question: What are the principles of different approximate optimizations used in the proposed approach?
Answer: The principles of different approximate optimizations used in the proposed approach include the use of different approximation methods such as quantization, pruning, and knowledge distillation.

3. Question: What is the effectiveness of CoAxNN according to the experimental results?
Answer: The effectiveness of CoAxNN is demonstrated through experimental results, which show that it achieves up to 1.53× speedup while reducing energy by up to 34.61%, with trivial accuracy loss on CIFAR-10/100 and CINIC-10 datasets."
"up to 1.53× speedup while reducing energy by up to 34.61%, with trivial accuracy loss on CIFAR-10/100 and
CINIC-10 datasets.

1. Introduction

Convolutional neural networks (CNNs) have achieved remarkable
success in various intelligent tasks such as image classification [1].
To pursue superior performance on complex intelligent tasks, CNNs
are becoming wider and deeper, leading to tremendous computational
costs and expensive energy consumption for model execution. Recently,
on-device deep learning has been a mainstay due to its immeasurable
potential for privacy protection and real-time response. However, it is
hard to deploy complicated neural network models on edge devices due
to the limited resources.

Many efforts have been made to enable efficient on-device deep
learning via model approximation. For instance, pruning-based strategies [2] compress a neural network model by reducing redundant
neurons and connections and quantization-based methods [3] improve","Question 1: What is the main goal of the text?
Answer 1: The main goal of the text is to introduce a new approach for efficient on-device deep learning.

     Question 2: What are the limitations of current deep learning models?
Answer 2: Current deep learning models are becoming wider and deeper, leading to tremendous computational costs and expensive energy consumption for model execution.

     Question 3: What are the potential benefits of on-device deep learning?
Answer 3: On-device deep learning has the potential for privacy protection and real-time response."
"to the limited resources.

Many efforts have been made to enable efficient on-device deep
learning via model approximation. For instance, pruning-based strategies [2] compress a neural network model by reducing redundant
neurons and connections and quantization-based methods [3] improve

the efficiency of model execution by leveraging low-precision computations. In addition to these model compression techniques, emerging
staging-based approximate strategies, such as early exiting, improve
model performance by conditional execution at runtime.

While these methods optimize the deep neural network models from
different directions, we found that it is still a challenging problem
to effectively combine them (as described in Section 2.4). To achieve
efficient on-device inference, it is needed to take full advantage of the
superiority of different optimization strategies. Different approximate
strategies, based on distinct principles, have their own configuration","Question 1: What are the efforts made to enable efficient on-device deep learning?
Answer 1: Pruning-based strategies and quantization-based methods.

Question 2: What are the challenges in combining different optimization strategies?
Answer 2: It is still a challenging problem to effectively combine them.

Question 3: What are the approximate strategies based on distinct principles?
Answer 3: Emerging staging-based approximate strategies."
"to effectively combine them (as described in Section 2.4). To achieve
efficient on-device inference, it is needed to take full advantage of the
superiority of different optimization strategies. Different approximate
strategies, based on distinct principles, have their own configuration
parameters. When combining different strategies, the configuration
parameters of different strategies may affect each other, influencing the
optimization effect of the model, and even leading to poor optimization
results. As such, this paper aims to address the following challenging
problem: How to design an efficient model optimization framework to make

∗ Corresponding author at: State Key Lab of Processors, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China.

E-mail addresses:

liguangli@ict.ac.cn (G. Li), maxiu18@mails.jlu.edu.cn (X. Ma), yuqiuchu19@mails.ucas.ac.cn (Q. Yu), liulei@jlu.edu.cn (L. Liu),

liuhuaxiao@jlu.edu.cn (H. Liu), wangxueying@ict.ac.cn (X. Wang).","Question 1: What is the main aim of this paper?
Answer 1: The main aim of this paper is to address the challenging problem of designing an efficient model optimization framework to make full advantage of the superiority of different optimization strategies.

     Question 2: What is the key issue in combining different strategies?
Answer 2: The key issue in combining different strategies is that the configuration parameters of different strategies may affect each other, influencing the optimization effect of the model, and even leading to poor optimization results.

     Question 3: Who are the corresponding authors of this paper?
Answer 3: The corresponding authors of this paper are G. Li, X. Ma, Q. Yu, L. Liu, H. Liu, and W. Xueying."
"E-mail addresses:

liguangli@ict.ac.cn (G. Li), maxiu18@mails.jlu.edu.cn (X. Ma), yuqiuchu19@mails.ucas.ac.cn (Q. Yu), liulei@jlu.edu.cn (L. Liu),

liuhuaxiao@jlu.edu.cn (H. Liu), wangxueying@ict.ac.cn (X. Wang).

1 Guangli Li and Xiu Ma contributed equally to this work.

https://doi.org/10.1016/j.sysarc.2023.102978
Received 24 April 2023; Received in revised form 18 July 2023; Accepted 23 August 2023

JournalofSystemsArchitecture143(2023)102978Availableonline25August20231383-7621/©2023ElsevierB.V.Allrightsreserved.G. Li et al.

full use of various model approximate strategies, so as to optimize on-device
deep learning while meeting accuracy requirements?

In this paper, we present a novel neural network optimization
framework, CoAxNN (Conditional Approximate Neural Networks),
which effectively combines staging-based and pruning-based approximate strategies, for efficient on-device deep learning. The stagingbased approximate strategy optimizes the model structure as multiple","Question 1: Who contributed equally to this work?
Answer 1: Guangli Li and Xiu Ma.

     Question 2: When was this work received in revised form?
Answer 2: Received in revised form on 18 July 2023.

     Question 3: What is the novel neural network optimization framework presented in this paper?
Answer 3: CoAxNN (Conditional Approximate Neural Networks)."
"framework, CoAxNN (Conditional Approximate Neural Networks),
which effectively combines staging-based and pruning-based approximate strategies, for efficient on-device deep learning. The stagingbased approximate strategy optimizes the model structure as multiple
stages with different complexities by attaching multiple exit branches,
whereas the pruning-based approximate strategy compresses the model
parameters according to the importance of filters. CoAxNN takes account of both their optimization principles and automatically searches
for reasonable configuration parameters to construct a compressed
multi-stage neural network model, thus taking full advantage of the
superiority of different approximate strategies to achieve efficient
model optimization. The optimization techniques, including pruning
and staging, have been studied individually in the past; the key novelty
of our work is to provide an effective and efficient mechanism to
combine them, so as to optimize the neural network performance with","Question 1: What is the main idea of the text?
Answer 1: The main idea of the text is that the authors have developed a new deep learning framework called CoAxNN, which combines staging-based and pruning-based approximate strategies for efficient on-device deep learning.

     Question 2: What are the two main optimization techniques used in CoAxNN?
Answer 2: The two main optimization techniques used in CoAxNN are pruning and staging.

     Question 3: What is the key novelty of CoAxNN compared to previous work?
Answer 3: The key novelty of CoAxNN is that it provides an effective and efficient mechanism to combine pruning and staging, allowing for more efficient model optimization."
"model optimization. The optimization techniques, including pruning
and staging, have been studied individually in the past; the key novelty
of our work is to provide an effective and efficient mechanism to
combine them, so as to optimize the neural network performance with
a reasonable configuration, for a given task and a platform.
The main contributions of this paper are as follows:

• We present a novel neural network optimization framework,
namely CoAxNN, which effectively combines staging-based and
pruning-based approximate strategies, thereby improving actual
performance while meeting accuracy requirements, for efficient
on-device model inference.

• According to the principles of staging-based and pruning-based
approximate strategies, our framework constructs the design
space, and automatically searches for reasonable configuration
parameters, including the number of stages, the position of stages,
the threshold of stages, and the pruning rate, so as to make","Question 1: What are the optimization techniques studied in the paper?
Answer 1: The optimization techniques studied in the paper include pruning and staging.

     Question 2: What is the main contribution of the paper?
Answer 2: The main contribution of the paper is the presentation of a novel neural network optimization framework, CoAxNN, which effectively combines staging-based and pruning-based approximate strategies to improve actual performance while meeting accuracy requirements for efficient on-device model inference.

     Question 3: How does the framework construct the design space?
Answer 3: According to the principles of staging-based and pruning-based approximate strategies, the framework constructs the design space and automatically searches for reasonable configuration parameters, including the number of stages, the position of stages, the threshold of stages, and the pruning rate, so as to make efficient on-device model inference."
"approximate strategies, our framework constructs the design
space, and automatically searches for reasonable configuration
parameters, including the number of stages, the position of stages,
the threshold of stages, and the pruning rate, so as to make
full use of the advantages of both to achieve efficient model
optimization.

• We validate the effectiveness of CoAxNN by optimizing state-ofthe-art deep neural networks on a commercial edge device, Jetson
AGX Orin, in terms of prediction accuracy, execution latency, and
energy consumption, and experimental results show that CoAxNN
can significantly improve the performance of model inference
with trivial accuracy loss.

The rest of the paper is organized as follows. The background and
motivation are introduced in Section 2. The details of our optimization
framework are described in Section 3. The experimental evaluation
is conducted in Section 4. A discussion is given in Section 5. The
conclusion is presented in Section 6.

2. Background and motivation","Question 1: What is the main goal of CoAxNN?
Answer 1: The main goal of CoAxNN is to achieve efficient model optimization by making full use of the advantages of both approximate strategies and the design space.

Question 2: What does the phrase ""trivial accuracy loss"" mean in the context of the paper?
Answer 2: In the context of the paper, the phrase ""trivial accuracy loss"" means that the performance of the optimized model is very close to the performance of the state-of-the-art model, with only a small difference in accuracy.

Question 3: What is the main contribution of the paper?
Answer 3: The main contribution of the paper is the development of a novel optimization framework that can significantly improve the performance of model inference on commercial edge devices, such as Jetson AGX Orin, by leveraging approximate strategies and the design space."
